degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,63,noisy_input,0.06362495571374893,0.17745628952980042,0.06362495571374893,0.17745628952980042,0.0,0.0,0,0
gaussian_medium,relative_observable,64,noisy_input,0.05301336571574211,0.15553700923919678,0.05301336571574211,0.15553700923919678,0.0,0.0,0,0
gaussian_medium,relative_observable,65,noisy_input,0.06843168288469315,0.21629437804222107,0.06843168288469315,0.21629437804222107,0.0,0.0,0,0
gaussian_medium,relative_observable,66,noisy_input,0.08183147758245468,0.20187802612781525,0.08183147758245468,0.20187802612781525,0.0,0.0,0,0
gaussian_medium,relative_observable,67,noisy_input,0.04765406250953674,0.15165942907333374,0.04765406250953674,0.15165942907333374,0.0,0.0,0,0
gaussian_medium,relative_observable,68,noisy_input,0.06450282037258148,0.19587844610214233,0.06450282037258148,0.19587844610214233,0.0,0.0,0,0
gaussian_medium,relative_observable,69,noisy_input,0.06581691652536392,0.22751519083976746,0.06581691652536392,0.22751519083976746,0.0,0.0,0,0
gaussian_medium,relative_observable,70,noisy_input,0.06503480672836304,0.26727980375289917,0.06503480672836304,0.26727980375289917,0.0,0.0,0,0
gaussian_medium,relative_observable,71,noisy_input,0.08243260532617569,0.430653840303421,0.08243260532617569,0.430653840303421,0.0,0.0,0,0
gaussian_medium,relative_observable,72,noisy_input,0.059163399040699005,0.21139493584632874,0.059163399040699005,0.21139493584632874,0.0,0.0,0,0
gaussian_medium,relative_observable,73,noisy_input,0.048943597823381424,0.170535609126091,0.048943597823381424,0.170535609126091,0.0,0.0,0,0
gaussian_medium,relative_observable,74,noisy_input,0.05488523095846176,0.3997913897037506,0.05488523095846176,0.3997913897037506,0.0,0.0,0,0
gaussian_medium,relative_observable,75,noisy_input,0.061505354940891266,0.15565665066242218,0.061505354940891266,0.15565665066242218,0.0,0.0,0,0
gaussian_medium,relative_observable,76,noisy_input,0.06336772441864014,0.16765718162059784,0.06336772441864014,0.16765718162059784,0.0,0.0,0,0
gaussian_medium,relative_observable,77,noisy_input,0.057621002197265625,0.1471443772315979,0.057621002197265625,0.1471443772315979,0.0,0.0,0,0
gaussian_medium,relative_observable,78,noisy_input,0.055813103914260864,0.1270044893026352,0.055813103914260864,0.1270044893026352,0.0,0.0,0,0
