method,condition,metric,N,mean,std,median,min,max,p05,p25,p75,p95,source_file
linear_interp,span20_random_seed44,RMSE,36073,0.0040713991038501,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span20_random_seed44,masked_ADE,36073,0.0085690068081021,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span20_random_seed44,masked_RMSE,36073,0.0091039268299937,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span20_random_seed44,off_map_ratio,36073,0.0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span20_random_seed44,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,ADE,36073,0.0041962610557675,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,FDE,36073,0.0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,RMSE,36073,0.0080011142417788,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,masked_ADE,36073,0.0139875374734401,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,masked_RMSE,36073,0.0146079724654555,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,off_map_ratio,36073,0.0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
linear_interp,span30_fixed_seed42,wall_crossing_count,36073,0,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
savgol_w5_p2,span10_fixed_seed42,ADE,36073,0.0012477154377847,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
savgol_w5_p2,span10_fixed_seed42,FDE,36073,0.0007103301468305,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
savgol_w5_p2,span10_fixed_seed42,RMSE,36073,0.0017617791891098,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
savgol_w5_p2,span10_fixed_seed42,masked_ADE,36073,0.0035377226304262,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
savgol_w5_p2,span10_fixed_seed42,masked_RMSE,36073,0.0042175468988716,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,missing_raw_data,outputs/stage3/phase1/canonical_room3/eval/summary_metrics.csv
