condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
combined_medium,fused_tau07_gamma1,1,0.7,1,low,1453,0.3046630918979645,0.06233503669500351,0.2901719808578491,0.21637429296970367,0.5709583163261414,0.2545337677001953,0.3417918384075165
combined_medium,fused_tau07_gamma2,1,0.7,2,high,290,0.044971123337745667,0.01567581482231617,0.04675613343715668,0.003591065527871251,0.06709586083889008,0.034627482295036316,0.058582257479429245
combined_medium,fused_tau07_gamma2,1,0.7,2,mid,2257,0.15023207664489746,0.0434659942984581,0.14996765553951263,0.06711292266845703,0.23226241767406464,0.11513698846101761,0.18737806379795074
combined_medium,fused_tau07_gamma2,1,0.7,2,low,1453,0.30481722950935364,0.06229352951049805,0.2896783947944641,0.21949853003025055,0.5709049701690674,0.254868745803833,0.341496080160141
combined_medium,fused_tau09_gamma1,1,0.9,1,high,290,0.0452093668282032,0.01581091247498989,0.047184113413095474,0.003591065527871251,0.06980746239423752,0.033947549760341644,0.05901144817471504
combined_medium,fused_tau09_gamma1,1,0.9,1,mid,2257,0.15028846263885498,0.0435175783932209,0.15027159452438354,0.06582647562026978,0.23605118691921234,0.114855095744133,0.18719607591629028
combined_medium,fused_tau09_gamma1,1,0.9,1,low,1453,0.3046630918979645,0.06233503669500351,0.2901719808578491,0.21637429296970367,0.5709583163261414,0.2545337677001953,0.3417918384075165
combined_medium,fused_tau09_gamma2,1,0.9,2,high,290,0.04502055421471596,0.015700649470090866,0.04673366993665695,0.003591065527871251,0.06768064200878143,0.0344977043569088,0.0585455447435379
combined_medium,fused_tau09_gamma2,1,0.9,2,mid,2257,0.15023207664489746,0.0434659942984581,0.14996765553951263,0.06711292266845703,0.23226241767406464,0.11513698846101761,0.18737806379795074
combined_medium,fused_tau09_gamma2,1,0.9,2,low,1453,0.30481722950935364,0.06229352951049805,0.2896783947944641,0.21949853003025055,0.5709049701690674,0.254868745803833,0.341496080160141
